,respnum,sf_resident,county,gender,gender_code,race,race_code,income,income_code,age,age_code,car_reason_hard,car_trips,taxi_trips,public_trips,mass_private_trips,legs_trips,other_trips,targ_trips,targ_car_trips,targ_taxi_trips,targ_public_trips,avg_travel_dist,value
0,2,0,Alameda,Male,1,Asian,1,Less than 15k,1,35-44,3,1,6.0,0.0,2.0,0.0,0.0,0.0,1.6,1.5,0.0,0.1,55,88.0
3,38,0,Solano,Male,1,Asian,1,75k-100k,5,55-64,5,1,18.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,60,270.0
5,105,0,San Mateo,Female,2,Asian,1,35k-75k,4,35-44,3,1,10.0,0.0,50.0,0.0,0.0,0.0,5.0,2.5,0.0,2.5,30,150.0
6,111,0,Solano,Male,1,Native American,5,35k-75k,4,45-54,4,0,18.0,0.0,0.0,0.0,0.0,24.0,13.5,13.5,0.0,0.0,60,810.0
7,136,0,Contra Costa,Female,2,White,4,35k-75k,4,55-64,5,0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,40,8.0
8,154,0,Alameda,Female,2,White,4,Unknown,8,55-64,5,0,6.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,55,247.5
9,165,0,San Mateo,Female,2,Refused,7,Unknown,8,45-54,4,1,10.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,30,75.0
10,167,0,Contra Costa,Male,1,White,4,More than 200k,7,35-44,3,0,4.0,0.0,36.0,0.0,0.0,0.0,4.8,3.0,0.0,1.8,40,192.0
11,249,0,Contra Costa,Male,1,Hispanic/Latino,3,35k-75k,4,55-64,5,0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,40,120.0
12,255,0,San Mateo,Male,1,White,4,More than 200k,7,55-64,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,30,15.0
14,318,0,San Mateo,Male,1,Hispanic/Latino,3,100k-200k,6,45-54,4,0,42.0,0.0,0.0,0.0,0.0,0.0,31.5,31.5,0.0,0.0,30,945.0
15,387,0,San Mateo,Female,2,White,4,Unknown,8,45-54,4,0,42.0,0.0,0.0,0.0,0.0,0.0,31.5,31.5,0.0,0.0,30,945.0
16,471,0,Contra Costa,Male,1,White,4,35k-75k,4,18-24,1,0,2.0,0.0,4.0,0.0,0.0,0.0,1.7,1.5,0.0,0.2,40,68.0
17,498,0,Marin,Male,1,Asian,1,100k-200k,6,18-24,1,1,2.0,0.0,2.0,0.0,0.0,0.0,0.6,0.5,0.0,0.1,40,24.0
18,551,0,Marin,Male,1,White,4,75k-100k,5,55-64,5,1,2.0,0.0,0.0,6.0,0.0,0.0,0.5,0.5,0.0,0.0,40,20.0
19,620,0,Contra Costa,Male,1,Asian,1,Unknown,8,25-34,2,1,6.0,6.0,0.0,0.0,0.0,0.0,4.5,1.5,3.0,0.0,40,180.0
20,635,0,San Mateo,Male,1,Asian,1,75k-100k,5,25-34,2,0,0.0,0.0,48.0,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,2.4000000000000004,30,72.00000000000001
22,679,0,Sonoma,Female,2,White,4,Unknown,8,55-64,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,80,40.0
23,575,0,San Mateo,Male,1,African American,2,100k-200k,6,65+,6,1,6.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,30,45.0
24,722,0,San Mateo,Female,2,Asian,1,100k-200k,6,35-44,3,0,2.0,0.0,2.0,0.0,0.0,0.0,1.6,1.5,0.0,0.1,30,48.0
25,735,0,Contra Costa,Male,1,Hispanic/Latino,3,35k-75k,4,18-24,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,40,4.0
26,737,0,Napa,Male,1,White,4,Unknown,8,45-54,4,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65,65.0
27,779,0,San Mateo,Female,2,White,4,More than 200k,7,55-64,5,0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,30,180.0
28,849,0,Alameda,Female,2,African American,2,25k-35k,3,55-64,5,0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,55,5.5
29,883,0,San Mateo,Male,1,White,4,100k-200k,6,55-64,5,1,2.0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,30,15.0
31,998,0,Alameda,Female,2,White,4,More than 200k,7,45-54,4,0,0.0,0.0,52.0,0.0,0.0,0.0,2.6,0.0,0.0,2.6,55,143.0
32,1076,0,Alameda,Female,2,White,4,100k-200k,6,45-54,4,1,2.0,0.0,2.0,0.0,0.0,0.0,0.6,0.5,0.0,0.1,55,33.0
