RESPNUM,Q2,Q3,Trips,Q4TOT,Q5TOT,Q4aP,Q4bP,Q4cP,Q4dP,Q4eP,Q4fP,Q4gP,Q4hP,Q5aP,Q5bP,Q5cP,Q5dP,Q5eP,Q5fP,Q5gP,Q5hP,WORK,SCH,SHOP,SOC,HOME,OTH-P-SF,DK-P-SF,REL,SFINTMODE,Q4aM,Q4bM,Q4cM,Q4dM,Q4eM,Q4fM,Q4gM,Q4hM,Q5aM,Q5bM,Q5cM,Q5dM,Q5eM,Q5fM,Q5gM,Q5hM,DA,DO,CRSHRE,TNC,TAXI,TRANS,SHTTLE,BIKE,WALK,SCOOT,OTH-M-SF,DK-M-SF,Q6,Q8,Q10,Q11Total,Q12,Q19,Q13,Q15,Q16M,Q17,Q18Total,Q9M,Q7P,Q9P-ADJ,Q11aP,Q11bP,Q11cP,Q11dP,Q11eP,Q11fP,Q14P,Q16P-Adj,Q18aP,Q18bP,Q18cP,Q18dP,Q18eP,Q18fP,WORK1,SCH1,SHOP1,SOC1,HOME1,OTH1-P,DK1-P,REL1,WORK2,SCH2,SHOP2,SOC2,HOME2,OTH2-P,DK2-P,REL2,Q7M,Q9M-Adj,Q11aM,Q11bM,Q11cM,Q11dM,Q11eM,Q11fM,Q14M,Q16M-Adj,Q18aM,Q18bM,Q18cM,Q18dM,Q18eM,Q18fM,DA1,DO1,CRSHRE1,TNC1,TAXI1,TRANS1,SHTTLE1,BIKE1,WALK1,SCOOT1,OTH1-M,DK1-M,DA2,DO2,CRSHRE2,TNC2,TAXI2,TRANS2,SHTTLE2,BIKE2,WALK2,SCOOT2,OTH2-M,DK2-M,Q20,Q21A,Q21B,Q21C,Q22A,Q22B,Q22C,Q22D,Q22E,Q22F,Q22G,Q22H,Q23,Q24A,Q24B-1,Q24B-2,Q24B-3,Q24C-1,Q24C-2,Q24C-3,Q25A-SF,Q25A-NSF,Q25B,Q26A,Q26B_1,Q26B_2,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q29,Q30,SAMPLETYPE,LANG,ZONE,Interview_Date,Interview_Day,DRVRFLAG,AGECO,WEIGHT
2,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,3,3,1,1,2,4,1,2,,1,5,1,2,1,,,,4,5,1,2,,,,,9,3,0,0,3,0,0,0,1,1,0,1,1,0,0,0,2,,1,1,2,,,,6,4,1,2,,,,,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,13,4,1,1,2,2,2,1,1,1,1,1,1,1,20,,,,,,,94044,4,2,,,3,1,,,,1,1,2,1,,2/7/2017,3,1,9,0.773208511
3,9,,4,2,2,1,5,,,,,,,4,5,,,,,,,1,0,0,1,2,0,0,0,1,1,1,,,,,,,2,2,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,1,1,1,,1,1,1,1,2,1,1,2,,,,19,,,1,,94102,2,,,4,4,,,,6,2,2,1,2,2/7/2017,3,1,4,1.069728814
9,9,,9,5,4,2,4,4,3,4,,,,2,4,2,5,,,,,0,3,1,4,1,0,0,0,6,6,6,9,2,2,,,,6,6,6,6,,,,,0,2,0,0,0,6,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,5,1,,1,1,2,2,2,2,2,3,,,,,,,8,,2,2,,,3,3,4,,,1,2,2,1,1,2/7/2017,3,1,3,0.870042857
38,7,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1,2,8,1,1,2,1,2,,,3,5,1,3,,,,,3,,,,,,,,8,0,16,0,8,0,0,0,0,0,1,0,0,0,0,0,2,,1,1,,,,,2,1,,,,,,,16,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,5,1,,1,1,1,1,2,1,1,2,,,,2,,,,94591,94107,2,,,5,1,,,,5,1,2,1,,2/7/2017,3,1,11,0.893210959
82,9,,7,5,2,2,4,5,3,5,,,,1,5,,,,,,,1,1,1,1,3,0,0,0,6,6,6,9,1,1,,,,6,6,,,,,,,2,0,0,0,0,4,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,1,6,2,2,2,1,2,2,2,2,1,3,,,,,,,2,,94601,2,,,3,4,,,,1,2,2,1,1,2/7/2017,3,1,3,0.870042857
105,5,1,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,2,25,5,1,1,,1,3,,2,7,4,5,,,,,3,7,3,4,5,,,,0,25,0,25,25,0,25,0,0,0,10,5,5,0,5,0,6,6,9,6,,,,,2,2,2,9,2,,,,0,0,0,0,0,75,0,0,25,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,4,5,1,1,1,,2,2,2,1,2,1,1,3,,,,,,,,94015,94015,2,,,3,1,,,,4,2,2,1,,2/7/2017,3,1,9,0.773208511
111,7,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,1,2,9,12,1,1,,2,,,3,5,1,3,,,,,1,,,,,,,,9,0,18,0,9,0,0,0,12,0,0,0,0,0,0,0,1,1,1,2,,,,,10,10,,,,,,,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,1,1,1,1,,1,1,2,2,2,2,1,3,,,,,,,,94591,94080,2,,,4,5,,,,4,1,2,1,,2/7/2017,3,1,10,0.970089474
136,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,1,1,1,,1,2,,4,5,,,,,,,4,7,4,5,,,,,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,6,6,,,,,,,6,6,9,6,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,13,6,6,5,,,,,,,,,1,3,,,,,,,,94805,2,2,,,5,4,,,,4,2,1,1,,2/8/2017,4,,11,0.893210959
154,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,1,2,1,1,1,,2,,,4,5,4,,,,,,4,,,,,,,,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,,,,,,1,1,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,1,6,2,2,2,1,2,2,2,2,1,3,,,,,,,,94605,94605,2,,,5,4,,,,8,2,2,1,,2/8/2017,4,1,11,0.893210959
165,5,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,4,5,,2,,,,,,4,5,4,4,4,4,,,,,,,,,,,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,,,,,,,,,,,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,1,1,1,,1,2,2,1,2,2,1,2,,,,5,,,,94070,2,2,,,4,7,,,,8,2,2,1,,2/8/2017,4,1,10,0.970089474
